,n_neighbors,weights,p,auc (mean),auc (std),auc (se)
310,71,distance,4,0.8238082910549845,0.012646537405071028,0.005655703463546522
311,158,distance,3,0.8244455847514924,0.012617537926353353,0.0056427345024015665
312,145,uniform,5,0.8278054179398214,0.014830904948725215,0.006632582326637522
313,171,uniform,3,0.8271154755790124,0.014936748516529126,0.006679917009155653
314,175,distance,1,0.8261392682875697,0.015142926887580817,0.006772122779788004
315,69,uniform,3,0.8293410752283817,0.014500312634928831,0.006484736949339992
316,103,distance,5,0.8237057191075424,0.012199773454150709,0.00545590455071568
317,195,uniform,2,0.8277269665983574,0.016064262310415457,0.007184156506895357
318,141,uniform,1,0.8305796479541299,0.017895338586512176,0.008003038711963244
319,55,uniform,3,0.8292321484258303,0.013565806929347245,0.006066813292731625
320,89,uniform,1,0.8312194754034351,0.016627100521915985,0.007435865407145275
321,92,uniform,3,0.827926864462078,0.015796621175070878,0.007064463752454218
322,184,uniform,3,0.8266739146955697,0.015149087405008503,0.00677487784693698
323,17,distance,5,0.8082995947305804,0.01498444392658308,0.006701247044974727
324,125,distance,4,0.8243917699385216,0.012724852423363098,0.005690727004458564
325,134,distance,2,0.8255507186227391,0.013965442258211494,0.006245535645041813
326,105,distance,5,0.8238909172741996,0.012188359050922979,0.00545079987440772
327,94,uniform,5,0.8277573355992432,0.015114250561993043,0.006759298337116169
328,74,distance,2,0.8243349922562488,0.01385614518074568,0.00619665650605069
329,173,distance,2,0.8252330381055456,0.013420497126544088,0.006001828773358635
330,184,distance,2,0.8248667052762331,0.013199227089591013,0.005902873804556442
331,40,uniform,5,0.8278190366563767,0.01641547852133082,0.007341225171376689
332,199,uniform,1,0.829923116080273,0.018145295821172365,0.008114822985596855
333,191,distance,5,0.8234447081745712,0.012312675033428996,0.005506395671922346
334,131,uniform,3,0.8285714515013181,0.015458814505709191,0.006913392017265112
335,38,distance,5,0.8190426951268088,0.01552865946630418,0.0069446276332203495
336,87,uniform,4,0.8282258522057242,0.01520371876075372,0.006799309731966836
337,47,uniform,4,0.8280458017992757,0.015542119483356247,0.006950647135841695
338,10,uniform,3,0.8084027808714931,0.013943522330523529,0.00623573275536738
339,164,distance,5,0.824193829304661,0.012200430359168233,0.005456198327570469
340,16,distance,4,0.8066216984234718,0.014194633835743344,0.00634803323448814
341,149,uniform,3,0.8275920323874862,0.01515939256447399,0.006779486454353741
342,161,uniform,5,0.8270434495201757,0.014697482017605106,0.0065729137778891555
343,100,distance,2,0.8241226762194771,0.013287565572460889,0.005942379975101691
344,150,uniform,1,0.8308855195781948,0.017749678702846532,0.007937897631669027
345,199,distance,4,0.8237214539253349,0.012430354890371892,0.005559023703863699
346,129,uniform,3,0.8284437451192093,0.01535496472200712,0.006866948982103816
347,34,uniform,3,0.8271541517513196,0.016041242477656502,0.007173861724719417
348,22,distance,1,0.8105152755648615,0.015354521510446114,0.006866750771868051
349,67,uniform,2,0.8302354588467444,0.015170171912955225,0.006784307125545181
350,12,distance,4,0.7995657537513299,0.011888811549685565,0.0053168381593563085
351,48,uniform,3,0.8285757180986273,0.014978981988861686,0.006698804392167945
352,140,uniform,3,0.8285945844841954,0.015488127125803478,0.006926501019491002
353,37,distance,3,0.8190372984135138,0.015406411082465547,0.006889956493939816
354,172,distance,5,0.8239245701628415,0.011949064964418731,0.005343784305600278
355,200,distance,4,0.823679135176285,0.012583680922586713,0.005627593190014232
356,54,distance,5,0.8219953835580901,0.012889919662485731,0.005764547317965848
357,8,distance,1,0.784723843874968,0.012550488798761644,0.005612749220976143
358,150,distance,3,0.8244652094612654,0.012972625662438507,0.005801534565574148
359,127,uniform,3,0.8284552084261447,0.015249116447878117,0.006819612194853119
360,20,distance,1,0.8102087537146421,0.015582136999508575,0.006968543513123156
361,87,distance,3,0.8233482650590412,0.013122376462685905,0.005868505159381783
362,46,distance,1,0.8206933654657519,0.014835071914127518,0.0066344458502174105
363,179,distance,3,0.8241052265735146,0.012420940103362914,0.005554813283114548
364,127,distance,1,0.8251572384420254,0.015867765351198656,0.007096280395259204
365,82,distance,5,0.823324450730874,0.013675625966519545,0.006115925859199793
366,34,distance,1,0.8157214791482135,0.014968967045094289,0.006694325573156998
367,9,distance,5,0.7885747337512251,0.01216008781327292,0.005438156592569003
